,Remittance-sending country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.30839959573714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.93025185929805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.2386514550352
1,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.526981477318852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06994677604066932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.836707465172985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7085912427462497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7129875578899759,0.0,0.0,0.0,0.0,0.9132303942146136,0.0,25.456730808032344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.339309388383081,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.364732668586197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9379125377834543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.656934447673072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27952764302625815,0.0,0.0,0.0,0.0,0.0,0.0,74.78531499115186,0.0,0.0,0.0,0.0,0.0,1.6640767726754464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5224902677621643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015848175821007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.97705925603933
2,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6985736657865279,0.9035272032748245,0.0,0.0,0.0,0.40618485723107367,0.0,0.09213618448579257,2.7775252398143198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624595155067385,0.0,0.0,0.0,0.0,0.0,3.7088150118380074,0.0,1.776376766620626,0.0,0.0,0.0,0.051678915548443685,0.0,0.0,0.0,0.0,0.0,0.807232326369317,1.1881228727418855,0.0,0.0,0.0,0.0,0.37158508751131514,0.0,0.0,0.0,0.27424488605474534,0.0,0.0,0.46448999459560664,13.718864044917467,0.0,0.0,0.0,0.0,6.252423883197421,0.3617459255218077,0.1834140153293573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.125339783681383,5.362287421986827,0.0,6.033021247915859,0.0,0.0,0.0,4.816948695105094,0.0,0.8299871301529412,20.309643195995882,0.012563431022540546,0.0,0.0,0.0,0.3780577739351325,0.0,0.029616641366692315,0.0,0.0,0.0,19.791009972203195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.506629702053117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1073813703532456,0.0,0.0,0.0,0.0,0.5558731845352297,0.0,0.0,0.0,0.0,10.321647520063763,0.0,0.0,0.6043455979001764,1.54210870903094,0.0,0.0,0.0,0.0,0.0,4.080709083933015,0.24609358805737103,0.0,0.0,5.995776487505656,0.12602821305655496,0.965150166586372,0.0,0.0,0.0,0.0,8.279996816139807,0.8640132311514349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11941211348534697,0.0,1.3200135314057,0.0,0.0,0.0,0.0,0.0,0.2731215937647987,0.0,0.0,1.344555998907647,0.7980041903374235,2.2345613729317004,0.4250929321973334,0.0,3.4692088847105618,0.0,0.0,0.0,0.0,1.7296139191338642,0.19938058932196256,0.0,0.0,0.0,0.0,0.19598046899350596,0.0,1.405931274671099,4.539605877380557,0.0,0.0,0.0,0.0,0.0,0.0,30.16372159908055,7.459294440837042,0.0,0.0,189.22326378679728
3,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61022539538868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15636423634088967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962654545837769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555471030192595,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.577221335730243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.773737593985762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027775958691606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4295735534179075,0.0,0.0,0.0,0.0,1.0577103438442994,0.0,0.0,0.0,0.0,0.0,32.184420975002425
4,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4032791173228548,0.0,0.0,0.2564988186468962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7222804261187594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035102148314644525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956689723320368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.67748594445712,0.0,0.0,0.0,0.0,1.35782940192436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547081187275434,0.0,0.0,0.0,0.0,0.0,0.0,1.5145579821188737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1557579302696794,0.0,0.0,0.0,0.0,0.31400469966112216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.93123781832154,0.0,25.687297124175352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.21953737828667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37035674221408244,0.2877418955543594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8644620203807853,0.17778055803949358,0.03798109996837913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.96356819683456
5,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.024437831851222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11329865063194267,0.0,0.0,0.01260392955840932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04794487916036854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02483925383542007,0.0,0.012924168634928625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.260968182194095,0.0,0.0,0.0,0.0,0.5624394914794625,0.0,0.0,2.865629862925343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.710620876197697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040366394471270585,0.0,42.67607352094016
6,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024110828448312745,0.029281530901231714,0.0,0.0,0.0,0.0,0.0,0.28673145857577415,0.0,0.0,0.015733591452975395,0.0,1.3733591587034815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415739992805105,0.0,0.0,0.0,0.0,0.0,0.7780363241889056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02636432069976498,0.0,0.0,0.0,0.0,1.3669754186852792,6.266310721112313,0.0,0.042446708744023065,0.0,0.0,0.0,0.0,1.045187474289381,0.0,0.0,0.0,0.5285942239529131,0.0,0.0,0.0,0.0,0.33645330313169974,0.08960213574020766,0.0,0.0,0.08634615391079202,0.0,0.0,0.0,0.0,3.441560761753564,0.04548327656003919,0.03199191428064679,0.0,0.0,0.0,0.33260665644560616,0.0,0.0,0.0,0.0,0.0,0.0,0.23987496866606797,7.278265459743654,0.0744383076370351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4731342498138767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009628811124074555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02263096934494574,0.0,0.006484985638357116,0.0,0.0,0.7357818263241072,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07506136601104038,0.0,0.0,0.0,0.0,0.03972497157022389,0.0,0.0983861017196795,0.0,0.8565541655706054,0.34125182589757963,0.0,0.4296697526341797,0.0,0.0002640374890964878,0.0,0.0,0.0,0.09644552732145448,0.0,0.0,0.0,0.0,0.0,0.0,0.2560615546376515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848286055514505,5.290005209570513,0.0,0.0,0.0,0.016015476035675307,0.0,0.0,0.0,0.0,0.0,0.0,33.72918183104286
7,Argentina,0.0007340108596544917,0.05945734206420592,0.2142066418144879,0.0,0.0,0.001788102006764678,0.0,0.0,1.5818394487708913,0.0,4.931846418936028,9.040682375282826,0.0004946897671922706,0.0,0.0,0.08147596971326292,0.022142067018024663,0.03944777523726236,22.738673296613232,0.012875361193904089,0.0012791212067752977,0.0,0.0004237888757171884,629.4477148794202,0.006051189663941616,0.00254853080666119,72.35683809135439,0.0,0.3750182251348806,0.048066289315883096,0.0005331454274220956,0.07754214769534051,0.016712786435546013,0.03199202181748809,2.0314120027585933,0.0,0.0,0.0,0.0,32.93702203576851,89.26565575235554,92.90293825418375,0.0,2.186381275118414e-05,0.0,2.419352307019756,0.01383333461656904,3.2371185750761016,0.0,0.0,0.6841250433288408,3.903060829109075,2.048765085639085,0.0,0.0037850354322785124,36.98469511793373,21.702552075038643,1.1459070223883425,1.1755553901305102,0.0,0.0,0.500654151789002,0.022416859655875445,0.0,0.000691090283653469,0.444294777439276,120.31050394946885,0.0,0.0,0.004716408558188361,0.12234137867879985,41.415799456925896,0.2782855801053255,0.4891040408782862,0.0,0.0013593591094325742,0.0,2.943727023800899,0.005436707434739025,0.005888393019121396,0.004820133120926329,0.4073762723825886,1.2591676822320084,0.01725621519960798,7.146927645047624,0.1651036561182187,6.9814438818677305,0.18178819760686926,0.15052439013836713,0.021826407950613993,0.23732937123782763,0.0,4.385249394968023,494.8361279290533,0.04781664639341067,15.021650481153682,0.12573991359466247,0.01044599882773034,0.08426348291860228,0.0,0.0,5.468760251891854,0.0,0.00017283575620412355,0.025620943146907656,0.050117870842005446,0.42833288942293846,7.778097723144467,0.0,0.09398035727022563,0.0,0.0,0.7793132666915473,0.6383469782615016,0.0,0.01355157383701748,0.008884424756339972,0.0005651480122214226,0.07019524748202023,0.0028616199954286615,0.01856246473506743,0.019365765966480663,0.0,0.0,0.0013803429471809865,21.866667116832087,0.0,0.030819903951625784,0.0,0.032859806679843055,1.6597768034633853,0.4670855997381901,0.002648015552593945,0.00020548651755555996,0.0001018081273682192,0.004657961772673562,1.9660654618421611,36.10985029030228,0.0,0.4950903941252182,0.21989880030502976,0.0,0.0,0.7665038551983134,0.036967948807723555,0.19034268425143797,0.0,2.261839522820141,0.0001347403315769968,533.2843776196426,436.8402861990645,15.479648722307102,10.476089960481993,14.022245149617293,0.0,0.17130789964301876,0.8812427322060624,1.635176727230858,0.010381936931448892,0.000298246375232777,0.0,0.0,0.08723530537441027,1.7348105105645721,0.03146092978886198,0.0,0.004209188484311429,0.0,0.0,0.7018430574786408,2.2311875136121038,0.0,0.0,0.34581898658562343,0.0,814.095798679488,0.06019449603467665,0.0,0.0,0.0,0.0,0.00045300131470660775,5.097113584024889e-05,0.0,4.516742008306528,7.65393442174596,0.507391938291178,0.0,0.017811343565430317,0.8885738210681882,0.0,0.004760453763508283,0.0035114417406850807,0.007670888227376152,0.1594635245887795,0.3139183746771325,0.0,0.0,0.0,0.0369063115251697,5.583631832442027,0.0,2.6516599196629875,56.00707742981395,41.02946226416928,0.0,0.0,4.313163845525441,0.28582226521991794,0.0,0.10053133831979243,0.0017101654948268536,0.00017655220195715557,0.0,3766.863924196473
8,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.49201567871808,0.0,0.0,0.0,0.0,0.3232944224856509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5937504075958,2.4472972406365305,0.0,0.520933620858123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.287590203704322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05131244018756728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.322067184876223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.733680393534529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.706431651007068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639502634899699,0.0,0.0,0.0,0.0,2.2538104184747088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.37168629697834
9,Aruba,0.0,0.0032812943394957667,0.0032295546302296913,0.0,0.0,0.0,0.0018427723410676142,0.038433732878214874,0.0,0.0,0.05856306180246343,0.07033445294953725,0.0,0.0,0.0,0.0017774843480501037,0.011155610335027174,0.0,0.7406733972838186,0.0,0.0,0.11444659655862345,0.0,0.012795882142240813,0.0,0.0,0.20124141621295913,0.0,0.0011723416332673404,0.0,0.0,0.003697064274492738,0.0,0.0,0.06108028330311969,0.0,0.0,0.0,0.0,0.004715454223383204,6.358400922381424,17.938326326867386,0.0,0.0,0.0,0.22448991149694972,0.0,0.0024203081401187702,0.0,0.0,0.0,0.0,0.004720656879352731,0.0,0.031688006010805285,15.434171498726743,0.3631003264904249,0.017816621857535134,0.007982154439162227,0.0,0.0,0.0,0.0036123527215891067,0.0,0.00037112833425836673,0.0025244021445413405,0.6392302243151509,0.0,0.0,0.002862591580159264,0.0,0.2683615632121891,0.009502391860395028,0.00288712903098266,0.0,0.11745427300507175,0.0,0.06287724156638377,0.0,0.0,0.15937852251823328,2.464379295103268,0.04991678661672358,0.02385417983475221,0.015544445658986989,0.006604146244728747,1.381221701563444,0.1181599111439119,0.0038117053537147882,0.0,0.0022747224080302965,0.0,0.0051110132808485104,0.16531923516174954,1.4053821308476684,0.018609576909258775,0.0,0.0,0.01077953457378381,0.0,0.0,0.009510887394594528,0.0,1.2345411157437394e-05,0.0,9.688367055250099e-05,0.003645733906680089,0.3436811097011374,0.001347647482418488,0.0,0.0,0.0,0.0,0.0,0.000834122130374723,0.0008942442242826624,0.0,0.002118226728703225,0.0,0.0,0.0027663853172730426,0.0,0.0,0.0,0.07656646342785382,0.0,0.0,0.0,0.0,0.0,0.0,0.010952365936038926,0.0,0.0,0.0,0.005457491460838523,6.2914094778949154,0.0,0.0,0.011781707595514973,0.0017377459407302365,0.07550220432131916,0.0,0.0029034236939330053,0.0,0.013134567764161439,0.0,0.05326767418557395,0.0,0.0021764622718690226,2.0845369721195155,4.428378059512947,0.023238063893638094,0.3238452528012873,0.0,0.0,0.0019781107440634735,0.005603858493880157,0.07384447052262678,0.0,0.0,0.0,0.004204111102381217,0.0,0.002376325012521957,0.0,0.0,0.0,1.1026649543147438,0.020948704095590822,0.002069747229695829,0.0,0.0,0.021658219140600305,0.0,0.33615251420890496,0.0037606270041565895,0.06037362114356617,0.009759297218760959,0.0,0.05396354110422993,0.0001018449010075643,0.00761119572823056,0.0,0.01610246705278619,0.04987526189608897,0.001243071493848642,0.0,0.0020726765180964475,0.00592443246270436,0.0,0.0,0.0012896831943953954,0.044564207797137635,0.0027837943218099663,0.005101769402496216,0.0,0.0,0.0,0.0,0.010171382362138512,0.0,0.05340087655973664,1.2155228852002586,0.0,0.0,0.0,1.3438806740000373,0.008154920805804263,0.0,0.0,0.0,0.0,0.0,66.88854210135534
